name,price,year,total_km,location,engine_type,transmission
2014 BMW 3 Series Gran Turismo 320i AT,360000000,2014,56000,"Jakarta Pusat
5 Seat
1997 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Mercedes Benz C-Class C200,215000000,2012,,,,Otomatis
2023 BMW 3 Series Sedan 320i M Sport,810000000,2023,13000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Honda City E 1.5L AT,279000000,2022,28000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2020 BMW 3 Series Sedan 330i M Sport,694000000,2020,,,,Otomatis
2018 BMW 3 Series Sedan 320i GT LUXURY,422000000,2018,77000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2016 BMW 3 Series Sedan 320i F30 SPORT,385000000,2016,39000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2015 BMW 3 Series Sedan 320i F30 LUXURY,320000000,2015,,,,
2015 Mercedes Benz E-Class 250 AVG AMG STYLE,470000000,2015,18000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2015 Mercedes Benz C-Class Sedan C 250 Exclusive,471000000,2015,70000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2014 Honda Accord 2.4L VTi-L,245000000,2014,,,,Otomatis
2013 Toyota Camry 2.4 V AT,165000000,2013,130000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Honda City RS A/T,235000000,2021,,,,
2020 Toyota Camry V 2.5L AT,360000000,2020,52000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Chevrolet Captiva DIESEL AT,135000000,2014,134030,"Jakarta Pusat
Panggilan Gratis",Diesel,Otomatis
2008 Toyota Camry 2.4 V AT,125000000,2008,,,,Otomatis
2018 Honda Civic 1.5 ES TRB,323000000,2018,56659,"Jakarta Pusat
Panggilan Gratis",Bensin,
2015 Honda City E CVT,158000000,2015,100000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2013 Toyota Vios E CVT,120000000,2013,146000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,CVT
2011 Mercedes Benz E-Class E 300 Elegance,197000000,2011,,,,
2014 Toyota Camry 2.5 G,139000000,2014,141000,"Jakarta Pusat
5 Seat
2494 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Toyota Corolla Altis V AT,290000000,2020,,,,Otomatis
2018 BMW 3 Series Sedan 320i Sport,415000000,2018,63000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2014 Toyota Camry Hybrid 2.5L AT,245000000,2014,22005,"Jakarta Pusat
Panggilan Gratis",Hybrid,Otomatis
2014 Toyota Camry V 2.5L AT,190000000,2014,,,,Otomatis
2016 Honda Civic 1.5L ES,305000000,2016,25000,"Jakarta Pusat
5 Seat
1498 Cc
Panggilan Gratis",Bensin,CVT
2019 Honda Civic 1.5 TC CVT ES A/T SDN,360000000,2019,20000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2019 Mercedes Benz C-Class Sedan C 200,435000000,2019,17599,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Honda Civic 1.5L ES,305000000,2018,,,,
2014 BMW 3 Series Sedan 320i M Sport,260000000,2014,46199,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2024 Honda Accord 2.0L RS eHEV,790000000,2024,13815,"Jakarta Pusat
5 Seat
1993 Cc
Panggilan Gratis",Bensin,CVT
2022 Toyota Camry Hybrid 2.5 HV,600000000,2022,17000,"Jakarta Pusat
5 Seat
2487 Cc
Panggilan Gratis",Hybrid,CVT
2013 BMW 3 Series Gran Turismo 335i,498000000,2013,35000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Bensin,Otomatis
2023 BMW 3 Series Sedan 330i M Sport,825000000,2023,24000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Toyota Corolla Altis 1.8 V A/T,297000000,2020,,,,
2019 Toyota Corolla Altis 1.8 V A/T,260000000,2019,58000,"Jakarta Pusat
5 Seat
1798 Cc
Panggilan Gratis",Bensin,CVT
2020 Honda Accord 1.5 VTIL Turbo Sensing,426000000,2020,18000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2022 Honda Accord 1.5TC EL,490000000,2022,33000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2021 Mercedes Benz E-Class E 300 AMG Line,900000000,2021,15000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2020 Toyota Camry 2.5 V AT,390000000,2020,,,,Otomatis
2014 Mercedes Benz E-Class E 200 Avantgarde Line,335000000,2014,34000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Honda City E CVT,170000000,2017,,,,CVT
2014 Mercedes Benz E-Class E 250 AT,328000000,2014,32614,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Camry G 2.5L AT,335000000,2019,80000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Toyota Camry Hybrid L 2.5L AT,235000000,2016,12345,"Jakarta Pusat
Panggilan Gratis",Hybrid,Otomatis
2014 BMW 3 Series Sedan 320i Dynamic,317000000,2014,83000,"Jakarta Pusat
5 Seat
1998 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Toyota Camry 2.5 V AT,175000000,2012,100000,"Jakarta Pusat
5 Seat
2487 Cc
Panggilan Gratis",Bensin,Otomatis
2011 Mercedes Benz E-Class E 300 AMG,220000000,2011,61000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2010 Mercedes Benz E-Class E 250 CGI AVANTGARDE,210000000,2010,,,,
2017 Mercedes Benz C-Class Sedan C 200,333000000,2017,24000,"Jakarta Pusat
5 Seat
1991 Cc
Panggilan Gratis",Bensin,Otomatis
2022 Honda Accord 1.5TC EL CVT,490000000,2022,,,,CVT
2019 Honda Accord 1.5 VTIL Turbo Sensing,435000000,2019,26000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2019 Mercedes Benz E-Class E 300 SportStyle Avantgarde Line,560000000,2019,,,,Otomatis
2011 Mercedes Benz C-Class Sedan C 200 Avantgarde Line,190000000,2011,12345,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2008 Mercedes Benz E-Class E280,180000000,2008,36000,"Jakarta Pusat
5 Seat
Panggilan Gratis",Bensin,Otomatis
2010 Toyota Camry 2.4 V AT,140000000,2010,,,,Otomatis
2016 Honda Civic 1.5L AT PRESTIGE,289000000,2016,85000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Honda Civic 1.5 ES TRB,280000000,2016,40000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2008 BMW 3 Series Sedan 320i E90 STEPTRONIC,120000000,2008,53000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2017 Honda City E RS CVT,182000000,2017,63000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
