name,price,year,total_km,location,engine_type,transmission
2023 Honda Brio Satya E CVT,175000000,2023,34000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2022 Honda Brio RS CVT Urbanite Edition,195000000,2022,,,,CVT
2022 Honda Brio Satya S CVT,140000000,2022,92000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2019 Honda Jazz RS CVT,225000000,2019,,,,CVT
2019 Honda Brio RS 1.2L AT,167000000,2019,65000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Honda Brio RS CVT,180000000,2022,,,,CVT
2023 Honda Brio RS CVT,195000000,2023,,,,CVT
2023 Honda Brio RS 1.2L AT,205000000,2023,24000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Honda Brio Satya E,161000000,2022,20000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,Manual
2022 Honda Brio Satya E CVT,153000000,2022,,,,CVT
2022 Honda Brio RS 1.2L AT,185000000,2022,30000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Honda Brio Satya E CVT,155000000,2021,,,,CVT
2021 Honda Brio RS 1.2L AT,190000000,2021,28000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Toyota Yaris 1.5 S CVT GR Sport 3 AB,212000000,2021,,,,CVT
2021 Toyota Yaris S TRD Sportivo 1.5L AT,230000000,2021,27000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2020 Honda Brio Satya E,156000000,2020,54000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,Manual
2019 Honda Brio Satya E CVT,147000000,2019,61000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2019 Toyota Agya TRD S A/T,135000000,2019,,,,Otomatis
2018 Honda Brio E AT,130000000,2018,113000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Toyota Yaris S TRD Sportivo 1.5L AT,198000000,2018,,,,Otomatis
2018 Honda Brio RS CVT,165000000,2018,45000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,CVT
2016 Toyota Agya G A/T,105000000,2016,58000,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Toyota Yaris S AT,155000000,2016,123000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,Otomatis
2014 Honda Brio 1.3 E A/T,125000000,2014,,,,
2012 Honda Jazz 1.5L RS AT,145000000,2012,93000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,Otomatis
2024 Toyota Agya 1.2L G A/T,177000000,2024,,,,Otomatis
2020 Toyota Yaris S TRD 1.5L AT,220000000,2020,56000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2020 Toyota Yaris TRD Sportivo CVT,219000000,2020,47000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,CVT
2016 Toyota Yaris S TRD 1.5L AT,185000000,2016,43000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2013 Honda Brio E AT,155000000,2013,155000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Daihatsu Ayla 1.2L R AT,148000000,2022,,,,Otomatis
2020 Honda Brio 1.2L S AT,158000000,2020,50000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2018 Toyota Agya G A/T,125000000,2018,,,,Otomatis
2018 Toyota Yaris S TRD 1.5L AT,208000000,2018,19000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2021 Honda Brio RS,198000000,2021,19000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,Manual
2020 Toyota Yaris S TRD Sportivo 1.5L AT,226000000,2020,60000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Honda Brio RS,160000000,2019,58000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,Manual
2019 Honda Brio i-VTEC E 1.2L AT,165000000,2019,,,,Otomatis
2018 Honda Brio Satya E,143000000,2018,50000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,Manual
2017 Honda Brio 1.2 E MT,127000000,2017,,,,Manual
2014 Honda Brio Satya S AT,113000000,2014,85000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2023 Toyota Agya 1.2L G A/T,153000000,2023,17000,"Jakarta Pusat
5 Seat
1197 Cc
Panggilan Gratis",Bensin,Otomatis
2023 Honda Brio E AT,165000000,2023,,,,Otomatis
2021 Toyota Yaris S TRD 1.5L AT,218000000,2021,42000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Agya 1.2L G A/T,128000000,2019,20000,"Jakarta Pusat
5 Seat
1197 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Toyota Yaris J AT,115000000,2012,,,,Otomatis
2022 Toyota Agya 1.2L G A/T,140000000,2022,,,,Otomatis
2020 Honda Brio Satya E CVT,150000000,2020,,,,CVT
2020 Honda Brio RS CVT,159000000,2020,46000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2019 Daihatsu Ayla 1.2L R AT,120000000,2019,40000,"Jakarta Pusat
5 Seat
1197 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Yaris S TRD 1.5L AT,203000000,2019,,,,Otomatis
2018 Daihatsu Ayla  X AT,100000000,2018,104000,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Daihatsu Ayla 1.2L R AT,115000000,2018,51951,"Jakarta Pusat
5 Seat
1197 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Honda Jazz S CVT,173000000,2018,,,,CVT
2016 Honda Brio Satya S CVT,105000000,2016,58659,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2012 Honda Brio Satya E CVT,105000000,2012,58000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2021 Toyota Agya 1.2L G AT TRD,130000000,2021,,,,Otomatis
2024 Honda Brio Satya E CVT,190000000,2024,7960,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2022 Toyota Yaris 1.5 S CVT GR Sport 3 AB,240000000,2022,,,,CVT
2020 Toyota Agya TRD S A/T,145000000,2020,42248,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2021 Daihatsu Ayla 1.2L R AT,132000000,2021,34000,"Jakarta Pusat
5 Seat
1197 Cc
Panggilan Gratis",Bensin,Otomatis
2018 Toyota Yaris G AT,185000000,2018,,,,Otomatis
2014 Toyota Yaris TRD SPORTIVO 1.5L CVT,165000000,2014,70000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2022 Toyota Agya 1.2 TRD MT TRD,142000000,2022,,,,Manual
2025 Honda Brio Satya E CVT,192000000,2025,767,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2021 Toyota Yaris TRD SPORTIVO 1.5L CVT,215000000,2021,27000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2016 Honda Brio Satya E CVT,129000000,2016,,,,CVT
2015 Toyota Agya 1.0 G AT,95000000,2015,135000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Honda Brio E AT,182000000,2022,36000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Toyota Yaris G AT,155000000,2016,35000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Honda Jazz RS CVT,180000000,2014,30000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2013 Honda Brio Satya E CVT,125000000,2013,,,,CVT
2017 Toyota Agya 1.2 G AT,107000000,2017,12345,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Honda Jazz GK5 1.5 RS CVT,261000000,2019,37000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2016 Toyota Yaris S TRD Sportivo 1.5L AT,169000000,2016,,,,Otomatis
2015 Toyota Yaris G AT,135000000,2015,130000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2014 Honda Brio 1.2 E AT,118000000,2014,33000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2022 Toyota Yaris 1.5 S CVT GR Sport 7 AB,228000000,2022,,,,CVT
2019 Honda Brio RS CVT,165000000,2019,,,,CVT
2016 Daihatsu Ayla  X AT,98000000,2016,79000,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2015 Honda Jazz S CVT,175000000,2015,72000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2015 Toyota Yaris S TRD 1.5L AT,163000000,2015,107000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Agya 1.2L G AT TRD,110000000,2019,130000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2013 Toyota Agya TRD S A/T,95000000,2013,104000,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2013 Toyota Yaris E 1.5L AT,123000000,2013,,,,Otomatis
2024 Toyota Agya 1.2L G CVT,174000000,2024,10599,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,CVT
2024 Toyota Agya 1.0L G A/T,173000000,2024,9315,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Toyota Yaris TRD Sportivo CVT,205000000,2019,46203,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,CVT
2011 Toyota Yaris E AT,118000000,2011,109000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Toyota Agya 1.0 G AT,105000000,2016,67000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2016 Toyota Yaris 1.5 TRD SPT,172000000,2016,,,,
2015 Honda Jazz GK5 1.5 RS CVT,185000000,2015,80000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2014 Honda Brio E AT,109000000,2014,108000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2012 Honda Jazz 1.5L S AT,120000000,2012,,,,Otomatis
2011 Toyota Yaris E 1.5L AT,121000000,2011,100000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2012 Honda Brio 1.3 S A/T,111000000,2012,,,,
2014 Honda Brio 1.2 E MT,106000000,2014,78767,"Jakarta Pusat
Panggilan Gratis",Bensin,Manual
2012 Toyota Yaris E 1.5L AT,125000000,2012,,,,Otomatis
2019 Toyota Yaris TRD SPORTIVO 1.5L CVT,210000000,2019,64087,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2016 Honda Brio RS CVT,143000000,2016,,,,CVT
2014 Toyota Yaris E AT,120000000,2014,62000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,Otomatis
2019 Honda Brio Satya E,148000000,2019,18000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,Manual
2017 Honda Brio RS 1.2L AT,138000000,2017,,,,Otomatis
2021 Toyota Yaris 1.5 S CVT GR Sport 7 AB,238000000,2021,46000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,CVT
2014 Honda Brio E MT,102000000,2014,99000,"Jakarta Pusat
Panggilan Gratis",Bensin,Manual
2024 Daihatsu Ayla 1.2L R MT,128000000,2024,,,,Manual
2014 Toyota Yaris G AT,135000000,2014,,,,Otomatis
2017 Toyota Yaris TRD SPORTIVO 1.5L CVT,170000000,2017,60000,"Jakarta Pusat
Panggilan Gratis",Bensin,CVT
2018 Toyota Agya TRD S A/T,120000000,2018,70000,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2016 Honda Brio E AT,125000000,2016,63000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2013 Honda Jazz RS CVT,158000000,2013,130000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2019 Honda Brio RS CVT Urbanite Edition,161000000,2019,54000,"Jakarta Pusat
5 Seat
1199 Cc
Panggilan Gratis",Bensin,CVT
2021 Honda Brio Satya E,160000000,2021,,,,Manual
2019 Honda Brio E AT,152000000,2019,46000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,Otomatis
2012 Honda Brio 1.3 E A/T,92000000,2012,115000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2015 Honda Jazz RS CVT,165000000,2015,90000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2019 Honda Brio 1.2 E MT,118000000,2019,75000,"Jakarta Pusat
Panggilan Gratis",Bensin,Manual
2009 Honda Jazz 1.5L VTEC CVT,130000000,2009,180000,"Jakarta Pusat
5 Seat
1496 Cc
Panggilan Gratis",Bensin,CVT
2016 Honda Brio RS MT,118000000,2016,82265,Bandung,Bensin,Manual
2017 Honda Brio Satya E CVT,127000000,2017,56000,"Jakarta Pusat
5 Seat
1198 Cc
Panggilan Gratis",Bensin,CVT
2017 Honda Brio RS MT,135000000,2017,,,,Manual
2015 Honda Brio E AT,121000000,2015,71000,"Jakarta Pusat
Panggilan Gratis",Bensin,Otomatis
2017 Honda Jazz RS CVT,203000000,2017,70652,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,CVT
2012 Toyota Yaris E AT,128000000,2012,127000,"Jakarta Pusat
5 Seat
1497 Cc
Panggilan Gratis",Bensin,Otomatis
2015 Toyota Yaris 1.5 TRD SPT,167000000,2015,65000,"Jakarta Pusat
Panggilan Gratis",Bensin,
2015 Toyota Yaris TRD SPORTIVO 1.5L CVT,172000000,2015,,,,CVT
2017 Toyota Agya TRD S A/T,128000000,2017,40001,"Jakarta Pusat
5 Seat
998 Cc
Panggilan Gratis",Bensin,Otomatis
2017 Honda Jazz RS 1.5 CVT,193000000,2017,36695,"Tangerang Selatan
Panggilan Gratis",Bensin,CVT
2018 Toyota Yaris TRD SPORTIVO 1.5L CVT,169000000,2018,110966,"Tangerang Selatan
Panggilan Gratis",Bensin,CVT
2023 Honda Civic Hatchback RS 1.5L,540000000,2023,11002,Yogyakarta,Bensin,CVT
